Ticker,Year,Class,Precision,Recall,F1-Score,Support
QQQ,2019,BUY,0.7058823529411765,0.8571428571428571,0.7741935483870968,14.0
QQQ,2019,HOLD,0.9730941704035875,0.9517543859649122,0.9623059866962306,228.0
QQQ,2019,SELL,0.5,0.6,0.5454545454545454,10.0
QQQ,2020,BUY,0.5,0.23076923076923078,0.3157894736842105,13.0
QQQ,2020,HOLD,0.8966942148760331,0.9819004524886877,0.937365010799136,221.0
QQQ,2020,SELL,0.8,0.21052631578947367,0.3333333333333333,19.0
QQQ,2021,BUY,0.5652173913043478,0.8125,0.6666666666666666,16.0
QQQ,2021,HOLD,0.9620853080568721,0.9144144144144144,0.9376443418013857,222.0
QQQ,2021,SELL,0.5,0.6428571428571429,0.5625,14.0
QQQ,2022,BUY,0.6666666666666666,0.5714285714285714,0.6153846153846154,14.0
QQQ,2022,HOLD,0.9363636363636364,0.9363636363636364,0.9363636363636364,220.0
QQQ,2022,SELL,0.47368421052631576,0.5294117647058824,0.5,17.0
QQQ,2023,BUY,0.75,0.8,0.7741935483870968,15.0
QQQ,2023,HOLD,0.958904109589041,0.9459459459459459,0.9523809523809523,222.0
QQQ,2023,SELL,0.4666666666666667,0.5384615384615384,0.5,13.0
QQQ,2024,BUY,0.7777777777777778,0.875,0.8235294117647058,16.0
QQQ,2024,HOLD,0.9675925925925926,0.95,0.9587155963302753,220.0
QQQ,2024,SELL,0.5882352941176471,0.6666666666666666,0.625,15.0
