Ticker,Year,Class,Precision,Recall,F1-Score,Support
XLE,2019,BUY,0.7368421052631579,0.8235294117647058,0.7777777777777778,17.0
XLE,2019,HOLD,0.966824644549763,0.9272727272727272,0.9466357308584686,220.0
XLE,2019,SELL,0.5,0.7333333333333333,0.5945945945945946,15.0
XLE,2020,BUY,0.6,0.23076923076923078,0.3333333333333333,13.0
XLE,2020,HOLD,0.9234042553191489,0.9559471365638766,0.9393939393939394,227.0
XLE,2020,SELL,0.38461538461538464,0.38461538461538464,0.38461538461538464,13.0
XLE,2021,BUY,0.6153846153846154,0.5,0.5517241379310345,16.0
XLE,2021,HOLD,0.9585253456221198,0.9454545454545454,0.9519450800915332,220.0
XLE,2021,SELL,0.6818181818181818,0.9375,0.7894736842105263,16.0
XLE,2022,BUY,0.7692307692307693,0.6666666666666666,0.7142857142857143,15.0
XLE,2022,HOLD,0.9590909090909091,0.9377777777777778,0.9483146067415731,225.0
XLE,2022,SELL,0.3888888888888889,0.6363636363636364,0.4827586206896552,11.0
XLE,2023,BUY,0.5416666666666666,0.7647058823529411,0.6341463414634146,17.0
XLE,2023,HOLD,0.9714285714285714,0.9400921658986175,0.955503512880562,217.0
XLE,2023,SELL,0.875,0.875,0.875,16.0
XLE,2024,BUY,0.55,0.6875,0.6111111111111112,16.0
XLE,2024,HOLD,0.9485981308411215,0.9269406392694064,0.9376443418013857,219.0
XLE,2024,SELL,0.5882352941176471,0.625,0.6060606060606061,16.0
