Ticker,Year,Class,Precision,Recall,F1-Score,Support
XLU,2019,BUY,1.0,0.35294117647058826,0.5217391304347826,17.0
XLU,2019,HOLD,0.922077922077922,0.9726027397260274,0.9466666666666667,219.0
XLU,2019,SELL,0.6,0.5625,0.5806451612903226,16.0
XLU,2020,BUY,0.5,0.35294117647058826,0.41379310344827586,17.0
XLU,2020,HOLD,0.9244444444444444,0.9497716894977168,0.9369369369369369,219.0
XLU,2020,SELL,0.6875,0.6470588235294118,0.6666666666666666,17.0
XLU,2021,BUY,0.2857142857142857,0.15384615384615385,0.2,13.0
XLU,2021,HOLD,0.9285714285714286,0.9369369369369369,0.9327354260089686,222.0
XLU,2021,SELL,0.5714285714285714,0.7058823529411765,0.631578947368421,17.0
XLU,2022,BUY,0.5555555555555556,0.5,0.5263157894736842,10.0
XLU,2022,HOLD,0.9517543859649122,0.9559471365638766,0.9538461538461539,227.0
XLU,2022,SELL,0.5714285714285714,0.5714285714285714,0.5714285714285714,14.0
XLU,2023,BUY,0.8,0.631578947368421,0.7058823529411765,19.0
XLU,2023,HOLD,0.9237668161434978,0.9626168224299065,0.9427917620137299,214.0
XLU,2023,SELL,0.5833333333333334,0.4117647058823529,0.4827586206896552,17.0
XLU,2024,BUY,0.7272727272727273,0.6153846153846154,0.6666666666666666,13.0
XLU,2024,HOLD,0.9727272727272728,0.9511111111111111,0.9617977528089887,225.0
XLU,2024,SELL,0.6,0.9230769230769231,0.7272727272727273,13.0
