Ticker,Year,Class,Precision,Recall,F1-Score,Support
SPY,2019,BUY,0.625,0.7692307692307693,0.6896551724137931,13.0
SPY,2019,HOLD,0.9862385321100917,0.9388646288209607,0.9619686800894854,229.0
SPY,2019,SELL,0.5555555555555556,1.0,0.7142857142857143,10.0
SPY,2020,BUY,0.6,0.5625,0.5806451612903226,16.0
SPY,2020,HOLD,0.9508928571428571,0.9551569506726457,0.9530201342281879,223.0
SPY,2020,SELL,0.7142857142857143,0.7142857142857143,0.7142857142857143,14.0
SPY,2021,BUY,0.7058823529411765,0.75,0.7272727272727273,16.0
SPY,2021,HOLD,0.9388646288209607,0.9728506787330317,0.9555555555555556,221.0
SPY,2021,SELL,0.8333333333333334,0.3333333333333333,0.47619047619047616,15.0
SPY,2022,BUY,0.5384615384615384,0.4666666666666667,0.5,15.0
SPY,2022,HOLD,0.9247787610619469,0.9587155963302753,0.9414414414414415,218.0
SPY,2022,SELL,0.75,0.5,0.6,18.0
SPY,2023,BUY,0.8125,0.8666666666666667,0.8387096774193549,15.0
SPY,2023,HOLD,0.9723502304147466,0.9547511312217195,0.9634703196347032,221.0
SPY,2023,SELL,0.5882352941176471,0.7142857142857143,0.6451612903225806,14.0
SPY,2024,BUY,0.8125,0.8125,0.8125,16.0
SPY,2024,HOLD,0.9716981132075472,0.9196428571428571,0.944954128440367,224.0
SPY,2024,SELL,0.34782608695652173,0.7272727272727273,0.47058823529411764,11.0
