,Final Value,Total Return (%),Annualized Return (%),Sharpe Ratio,Max Drawdown (%),Win Rate (%),Number of Trades
CNN,23677.197868347153,136.77197868347153,15.456100381845484,0.8812418277688849,-25.520850044926696,52.72727272727272,55
RSI,12424.102142333977,24.24102142333977,3.6854967552388374,0.28290246749707687,-35.89447967529297,40.0,5
MACD,16613.01989746093,66.1301989746093,8.832402253660977,0.5907048074887937,-30.459841053859844,63.33333333333333,60
SMA,7623.336471557619,-23.76663528442381,-4.424068040798767,-0.1446366480904463,-44.11908811322792,40.0,5
EMA_12_26,11506.167465209965,15.061674652099644,2.3669477577535902,0.22298074327140785,-33.302374112015045,59.25925925925925,27
EMA_50,12985.900321960466,29.859003219604663,4.452935664015811,0.3470592777970145,-35.55476471509936,50.74626865671642,67
BB,15005.450355529792,50.05450355529793,7.001103937689912,0.4871464610793656,-27.95226945607997,56.34517766497462,197
Buy & Hold,17669.624389648438,76.69624389648438,9.957125096901787,0.49954542616699016,-40.89588600706194,0.0,0
