,Final Value,Total Return (%),Annualized Return (%),Sharpe Ratio,Max Drawdown (%),Win Rate (%),Number of Trades
CNN,21357.27929687499,113.57279296874987,13.487861434265769,1.1751023721247282,-13.265907916691077,59.375,64
RSI,14236.502883911136,42.365028839111375,6.066661621774561,0.45902917755142886,-30.390161766635508,33.33333333333333,6
MACD,17474.145614624027,74.74145614624028,9.753348887639035,0.9205599993484945,-13.389866122507787,73.33333333333333,60
SMA,13755.71910095215,37.5571910095215,5.460807820263991,0.4166528318864636,-36.22784468035096,50.0,2
EMA_12_26,13994.502059936525,39.94502059936524,5.7638751144927225,0.5509517927354265,-12.84829309903324,63.63636363636363,22
EMA_50,14956.619644165032,49.56619644165032,6.942964749374125,0.6589474507795043,-16.58163944787675,69.64285714285714,56
BB,14491.859512329114,44.91859512329115,6.381543417831925,0.6064062932410895,-19.12621831370819,59.473684210526315,190
Buy & Hold,20430.34716796875,104.30347167968752,12.65131048484287,0.7123395423092235,-36.49653866947154,0.0,0
