Date,RSI,Williams %R,SMA,EMA,WMA,HMA,TEMA,CCI,CMO,MACD,PPO,ROC,CMFI,DMI,Parabolic SAR,Label
2014-01-02,38.32198478333211,-92.7272915279572,26.2184045791626,26.20832837251072,26.20242559259588,26.314699700866083,26.146607257781135,-173.69542331176376,-23.356030433335786,-0.3792014999725879,-0.9185699326176292,-1.7337378039467308,-0.024008613973205795,21.717973834033085,26.703488968309088,HOLD
2014-01-03,40.40180497506188,-79.99988843495059,26.143583679199217,26.132208493302446,26.124473675814542,26.09632706690316,25.985918830577493,-153.11294967949217,-19.19639004987625,-0.3867884595153157,-0.7132745053983219,-2.8194002497288424,-0.03422050570300631,22.34437104686326,26.657434729114073,HOLD
2014-01-06,37.50756436574088,-96.25013139479364,26.075888442993165,26.014865171056048,26.00506213795055,25.79267853438252,25.74415177850187,-165.72520401705688,-24.984871268518233,-0.412483692797057,-0.6031263971840224,-2.587365258251009,-0.06296350299801047,23.47223372712486,26.589335579205674,SELL
2014-01-07,37.50756436574088,-96.25013139479364,26.04679145812988,25.918856998308996,25.897958824851298,25.539435450236,25.58808309801513,-109.96021898254818,-24.984871268518233,-0.42791461696027966,-0.6803902766574786,-1.1287618055986148,-0.09882280842803208,21.57666391418721,26.496859009292034,HOLD
2014-01-08,35.15922558849476,-95.10490582748312,25.952373695373534,25.796037722737545,25.75187873840332,25.30505607682045,25.381826209686835,-138.82275108460527,-29.68154882301048,-0.45454990000563456,-0.6422851594959229,-3.605447622096946,-0.1082422348233887,21.9783934696542,26.411780564971487,HOLD
2014-01-09,32.340447132307645,-87.24645787548246,25.811638641357423,25.63832633802372,25.565742631392045,25.090164379158406,25.111776583758008,-174.28214026868145,-35.3191057353847,-0.49534428109217643,-0.6742213448437704,-5.343832934182216,-0.09375352078182168,24.94327919016088,26.286624141980194,HOLD
2014-01-10,39.35476244026376,-66.6667924202467,25.735035514831544,25.585946785664646,25.48185175115412,25.01185128375737,25.13483278658615,-92.15376426679845,-21.29047511947247,-0.488027740533159,-0.8168126045305392,-2.9331572362485683,-0.016491887369537946,24.177743408722502,26.09231058191714,HOLD
2014-01-13,36.808058366836185,-79.42039971514951,25.590143394470214,25.49558497606848,25.364382899891247,24.984414778815374,25.045587620967993,-94.20948990242847,-26.383883266327626,-0.49757684442121075,-1.0708738200700154,-5.45982313137659,-0.08250073517541189,24.209739690217496,25.92131464906165,HOLD
2014-01-14,40.66143094431612,-67.53616823634458,25.48859977722168,25.465920067422502,25.317525551535866,25.047786215579873,25.10839682125528,-70.98435976945306,-18.677138111367753,-0.4799657450305901,-1.2031691832357445,-3.8539601034293867,-0.04140128219902286,24.23746980084649,25.77083822814882,HOLD
2014-01-15,40.66143094431612,-67.53616823634458,25.36864814758301,25.44164877853034,25.289130679043858,25.14679969440807,25.161459243175692,-42.20675634137873,-18.677138111367753,-0.4606981800375891,-1.4198740269436938,-4.521026744057315,-0.04273958205896781,21.932858970258046,25.638418977745527,HOLD
2014-01-16,38.78807033964586,-75.6522355707132,25.32054920196533,25.391558975424857,25.2523137179288,25.213494271943066,25.130382439729562,-61.412611409121524,-22.423859320708292,-0.45361634010769336,-1.579631959084401,-1.8754113527024525,-0.049217018687672906,21.585986426345197,25.52189003739063,BUY
2014-01-17,37.65383915888744,-80.57959850356619,25.248103141784668,25.33222251354008,25.205888123945755,25.197761703260017,25.071200887588716,-84.33580316555509,-24.692321682225103,-0.45095117941770013,-1.8045291246989665,-2.8091116670440983,-0.10036827031813429,22.13047084323319,25.419344569878323,HOLD
2014-01-21,34.756449137513904,-89.50446351933438,25.17921962738037,25.235088434151756,25.12404847578569,25.080826595576127,24.917744549758236,-133.41830445938945,-30.487101724972188,-0.46504100882198074,-1.9124971231851635,-2.702711197675513,-0.10765657761169388,24.93759649671381,25.329104558467492,HOLD
2014-01-22,40.15624833422938,-63.67525850997926,25.139433288574217,25.20851905210339,25.107637058604848,24.99776253748422,24.95448512387485,-85.5463753955036,-19.68750333154123,-0.4475690141878168,-1.9981881591273647,-1.5610554184963608,-0.028586400942744707,26.155447007518603,25.224819493560013,HOLD
2014-01-23,33.66519950719472,-83.38871906605296,25.06104907989502,25.072335387334412,24.984014441750265,24.81304743410361,24.702065280557907,-175.40343626942484,-32.66960098561056,-0.47899199896041367,-2.1081385314845504,-3.1051427654364794,-0.08018565638318459,30.02490180246544,25.13513433773958,HOLD
2014-01-24,28.046010702110646,-94.66998558126805,24.941691207885743,24.82919193267702,24.742923042990945,24.438346040128454,24.213978700437426,-260.9945280123734,-43.90797859577871,-0.555944429367738,-2.33611060555422,-4.787984555821487,-0.12906508872208491,34.810578683037804,24.979528542911225,HOLD
2014-01-27,28.25743119006756,-89.39754337958217,24.781359672546387,24.632415844309428,24.52569254094904,24.021381788542772,23.9063761948366,-192.76024996200215,-43.485137619864865,-0.608951788246145,-2.4787235535332144,-6.324655818983711,-0.09510189267626083,39.22521401209728,24.733074991920297,HOLD
2014-01-28,28.9319991848195,-85.99443351064645,24.65071907043457,24.47789492930182,24.34409092989835,23.703135579041756,23.73525346508667,-137.6948802082577,-42.136001630361,-0.6407000797431017,-2.447812150711338,-5.207095814385443,-0.13556729462220923,42.5563758061374,24.483588099452135,HOLD
2014-01-29,25.339624469477823,-93.76502083102653,24.44585075378418,24.260776726158163,24.09555015563965,23.403562509170683,23.415465266307535,-148.85111057910595,-49.320751061044355,-0.6980634638908363,-2.7018103380613616,-8.087196253913717,-0.13591297237414024,46.63158814680502,24.283998585477605,HOLD
