Date,RSI,Williams %R,SMA,EMA,WMA,HMA,TEMA,CCI,CMO,MACD,PPO,ROC,CMFI,DMI,Parabolic SAR,Label
2023-12-06,55.83707581494446,-45.58110866997337,67.66856689453125,67.57379365992362,67.73796844482422,67.97729657105724,67.83150244658638,16.257947144981546,11.674151629888938,0.506418374651517,1.031205903209625,0.9332365848452946,0.14090344044940178,20.68292282165052,68.44733352399305,HOLD
2023-12-07,58.409731164144496,-31.62757603864338,67.71177978515625,67.61389752706464,67.76084081476385,67.85549970684629,67.831839426518,60.145360039063675,16.819462328289006,0.4930571857980226,1.0171393155258297,0.6415002407324791,0.17238056778126645,19.8252156656309,68.42294305988268,HOLD
2023-12-08,52.9809447052187,-54.418333685085685,67.6829719543457,67.56115930037532,67.69030581387607,67.65336115673334,67.61312935897995,-13.703298912517457,5.961889410437396,0.4394351634395548,0.9429116891655962,-0.4260762405539409,0.1722047287661668,17.40422632160915,68.39904040505452,HOLD
2023-12-11,58.641324624524735,-23.25560427660569,67.73770751953126,67.63498649345338,67.74198525168678,67.60539687185577,67.75456719779811,72.4918433510186,17.282649249049456,0.44373888849520426,0.9008094064781877,0.8118612334365564,0.19561396902885603,16.99878678208828,68.37561580332292,SELL
2023-12-12,60.403541958969754,-15.789381749296094,67.78379974365234,67.73554614467919,67.82386835271662,67.73524386473376,67.94718363769806,113.27253212756433,20.80708391793952,0.45967201897173027,0.8469122683292621,0.6805576395619667,0.22528765106016924,17.74554620874761,68.35265969362595,HOLD
2023-12-13,68.50837066617188,-0.7271497819806516,68.00849990844726,68.04304749816792,68.12259632457386,68.25480133981416,68.6321199501944,261.84773385618746,37.01674133234378,0.5657336007038509,0.90503443909168,3.3447577739591576,0.2711037863131377,22.73663101540547,67.2278103184746,HOLD
2023-12-14,58.00246383558841,-42.41376453065817,68.06419525146484,68.1095712107702,68.19540141712535,68.62542199799509,68.61909813283587,168.29205330980528,16.004927671176816,0.5611851157314476,0.8671271445614023,0.8208359953916875,0.18733878763826206,27.377086708757425,67.27217422342657,HOLD
2023-12-15,58.0024638355884,-42.41376453065817,68.0920425415039,68.16399970289933,68.25808008367365,68.81407893787731,68.5953364722922,77.96663125960467,16.004927671176812,0.5512262159299297,0.8820038621999329,0.4087348313184946,0.23728701554569448,29.60789077384426,67.36488929735711,BUY
2023-12-18,62.64981852584121,-16.842029119140236,68.18245925903321,68.33800709223368,68.44517059326172,68.96350131564671,68.88872538981823,146.6054439580555,25.299637051682417,0.5939485681808634,0.8454567740946107,1.325430400560454,0.2540323166711847,33.44740908713898,67.45389576833043,HOLD
2023-12-19,63.477735102258606,-11.977706311371684,68.34019622802734,68.50500584712584,68.64045077237216,69.1336411832559,69.13289447034357,136.0029146885386,26.95547020451721,0.6314577698718864,0.8100833628849706,2.3306589151262918,0.2576968517126802,36.77499162532773,67.53934198046481,HOLD
2023-12-20,51.31581182192397,-71.05245202697276,68.38072967529297,68.39711771014842,68.56252802068536,68.93122650300613,68.67182929977068,5.4319096738676285,2.631623643847944,0.5463654142439935,0.6878495092238461,0.6004395930283547,0.1369025557648757,32.950789974933606,67.62137034411381,SELL
2023-12-21,54.6167131269068,-50.98324671282114,68.43986358642579,68.39504249749004,68.56343245072799,68.68120308307687,68.56560659812149,-1.9475522707406334,9.233426253813603,0.5112898104124071,0.7019691920921414,0.8722540759039306,0.1421033253377811,29.305039461789477,67.70011757321686,HOLD
2023-12-22,57.99672537333128,-28.86574805467702,68.59829711914062,68.488338881114,68.64857954545455,68.58354005139283,68.72511232465611,71.49190778240357,15.993450746662555,0.5196606639101731,0.8023004567826635,2.353305145921419,0.14621830237409225,28.47720647349973,67.77571491315578,HOLD
2023-12-26,59.788505518794885,-16.57824880015252,68.72141952514649,68.61744688861387,68.75769514604049,68.69962737728851,68.95786735863935,94.86410181902167,19.57701103758976,0.543451635062894,0.8384857762798681,1.8114971626287324,0.1997773336647711,28.896687709161114,67.84828835949715,HOLD
2023-12-27,61.722807190315834,-3.0618412646543414,68.85438537597656,68.78113346950154,68.90247761119495,68.97800366180111,69.25032926688117,111.29095156352656,23.445614380631667,0.5813685440043912,0.9481306524346784,1.9499871664996187,0.22175589142897134,29.734140425511285,67.91795886798485,HOLD
2023-12-28,61.90224635720311,-3.619351439137275,68.86638031005859,68.92033700771717,69.02836262096058,69.3308772462787,69.4481561860983,110.55165734425694,23.804492714406223,0.6067660125977028,0.9779611500088469,0.17277093949280817,0.2707583648792394,30.855674374939525,67.98484255613306,BUY
2023-12-29,62.840057872748254,-1.8103316780158973,68.99467468261719,69.06061603232612,69.17845195423473,69.6399654812283,69.63253825522195,117.24665148408133,25.68011574549651,0.6313260233879419,1.001670507654756,1.8754039343132405,0.2596076179028632,32.175382452736734,68.08378212338326,HOLD
2024-01-02,67.49375205378246,-4.1649494969879575,69.20133972167969,69.31788190064964,69.44770715886897,70.01570662681503,70.09531909896435,173.83632356800706,34.987504107564924,0.7058915091282927,0.9526399509949705,3.0210243802065357,0.25227174949756864,35.706192411535,68.21552548233987,HOLD
2024-01-03,61.64351332889041,-27.6094155315884,69.28164520263672,69.42810249213308,69.57911723743786,70.22418607461331,70.1369413434584,146.00212312198096,23.287026657780814,0.712274455629057,1.0059003110039222,1.1618094947224744,0.18523475344961382,39.03338938753847,68.45314150542869,HOLD
2024-01-04,60.65023095123613,-30.976488470106734,69.33872909545899,69.50069097944765,69.67833432284269,70.26005822383996,70.10059074304458,96.21293515911589,21.30046190247226,0.7014398259559016,1.0418686133015433,0.8242387735596725,0.19853648564847867,40.70020404630022,68.72486182011318,HOLD
2024-01-05,59.01181302679711,-36.363752071705505,69.51482009887695,69.53193464280803,69.73902560147373,70.12679458001648,69.98837043367367,55.62646113881207,18.02362605359422,0.6726081800639321,0.9987013296661327,2.592943602021814,0.18112358087598598,38.75929019391404,68.96397569703552,HOLD
2024-01-08,62.614623569565694,-18.518159297497185,69.69478378295898,69.65073577708796,69.86093847101385,70.06863995176373,70.13094351631156,85.62790090281237,25.229247139131385,0.6832621337823213,0.9414996170228098,2.63159803071384,0.20981091189561815,37.460202893033156,69.17439590872719,HOLD
2024-01-09,63.84160303828648,-12.12093311443464,69.84088363647462,69.78136038899527,69.98355435458096,70.1088127213295,70.29686848565744,88.43514613820281,27.68320607657294,0.6984873077193186,1.0969283867911186,2.12021082532508,0.2668054253402166,37.03359460904756,69.35956569501586,SELL
