Date,RSI,Williams %R,SMA,EMA,WMA,HMA,TEMA,CCI,CMO,MACD,PPO,ROC,CMFI,DMI,Parabolic SAR,Label
2017-03-28,42.63380527257208,-49.00047400144645,48.81959190368652,48.743109411738146,48.62467595880682,48.21955835746996,48.38383187856548,-54.31020199724712,-14.732389454855824,-0.5769214150499593,-1.315712749715472,0.5707726813933235,-0.008716169904492305,22.522872414062153,49.50733894727817,HOLD
2017-03-29,49.929499250350084,-13.11106161326171,48.80634460449219,48.86899811577403,48.73665875521573,48.511150606714104,48.81938627169379,66.83442861155496,-0.141001499299828,-0.4858204314513941,-1.1483587909608977,-0.26725522793460893,0.012565126909721863,21.84065933369196,47.814887627602694,HOLD
2017-03-30,49.785957313467044,-21.649353701235363,48.82670936584473,48.96943587513081,48.8484880620783,48.93384227945347,49.109627294052345,116.60244850039194,-0.428085373065903,-0.4100327093777949,-0.9480011346563416,0.4137685686250498,0.01547584976857886,22.58683982757613,47.84899081787307,HOLD
2017-03-31,48.00231216176397,-29.89745408319935,48.833753204345705,49.02086298940923,48.92586545077237,49.274818123711476,49.22551112057684,66.88217459735834,-3.9953756764720514,-0.3594732440567867,-0.9288171408536037,0.14322029336542172,0.02321719971383452,21.56793368814566,47.92964353328907,HOLD
2017-04-03,47.093822015725934,-34.021504274181346,48.83938865661621,49.04756510213028,48.98658752441406,49.44788644578722,49.25946603448751,23.680005092843853,-5.812355968548138,-0.32251012468509543,-0.8944516232912949,0.11474842303447401,0.022295454340166776,18.699556622468826,48.007070140088416,BUY
2017-04-04,51.31116715351821,-16.495174674259893,48.915486907958986,49.13475111361262,49.111623798717154,49.54748268127441,49.4384505002917,67.54410661185064,2.622334307036426,-0.2612079084703254,-0.7880030299988765,1.560474233600772,0.0825330404246791,17.276763148962083,48.081399682615796,HOLD
2017-04-05,49.47895827189634,-39.11847597812829,48.98312950134277,49.17790075244619,49.19463965676048,49.54827888951157,49.48047351419351,127.47421943952888,-1.042083456207323,-0.2225681705029885,-0.6956740950251356,1.389089084823261,0.0979059481791089,19.301924092488456,48.152756043442075,HOLD
2017-04-06,53.983230841249984,-23.69164642655749,49.109959030151366,49.28494627992224,49.3370981389826,49.605942677969885,49.67823313909262,118.17207467613507,7.966461682499975,-0.15828225209469338,-0.4309053881277313,2.615130483193801,0.039466889471446394,21.057063576877976,48.285947885849716,HOLD
2017-04-07,51.59494802783748,-31.12899618146082,49.236789321899415,49.337942164485376,49.421909887140444,49.64956158724698,49.71447347179485,94.95170898373634,3.189896055674976,-0.12128684944112678,-0.2087835965083721,2.625444538887736,0.02709809831103185,22.661290985747033,48.4111482177129,HOLD
2017-04-10,55.73500173340042,-16.529019399079747,49.4235107421875,49.44919849635096,49.55155764493075,49.770572115194916,49.89661808057451,116.57233997738854,11.47000346680085,-0.06113050533901543,0.07403608029391275,3.8833439445598126,0.032624466099721805,25.036898731692602,48.52883652966429,HOLD
2017-04-11,55.811961529462465,-16.252954378197682,49.54259147644043,49.541510223266194,49.64853987260298,49.89255910931212,50.009961684974584,85.4906590480023,11.623923058924921,-0.012739551551781858,0.39875501450912615,2.4418750002933414,0.031419873663435564,24.40877274829529,48.639463542898596,HOLD
2017-04-12,52.849467319563324,-24.517902620877674,49.57359352111816,49.57860249734741,49.68543555519798,49.949981993858266,49.97723483346728,86.74149146055566,5.698934639126641,0.008455329117396104,0.7074854436669784,0.6271211251233582,-0.050036324407947766,25.171760549832165,48.743452935338844,HOLD
2017-04-13,42.42253315591122,-60.05527102481909,49.515109634399415,49.44368693874766,49.551430719549,49.707772295402755,49.53204136192321,-39.63688643322902,-15.154933688177584,-0.047544248349950635,0.7152514294353598,-1.1833715731319263,-0.06685767523957807,23.165111948542055,50.37262008356939,HOLD
2017-04-17,43.810865977955444,-61.32893091935689,49.484107971191406,49.35251992653572,49.44727776267312,49.36323076498629,49.27525723941225,-100.57939749360763,-12.378268044089122,-0.08244472215960741,0.644495621135102,-0.6294461912924997,-0.001822279085910577,21.52939143089161,50.33964432201933,HOLD
2017-04-18,39.3800225659838,-95.03546887333853,49.41576232910156,49.19465597416133,49.26548871127042,48.92118337226637,48.89629914956032,-150.0641810820696,-21.239954868032402,-0.14538448437035356,0.5289645474560243,-1.3900509456728454,-0.060329334367855925,21.65572627875278,50.27416667977856,HOLD
2017-04-19,33.680182432819954,-95.34880360780714,49.24031562805176,48.93610418882021,48.96673577048562,48.37783122207179,48.32633778641733,-202.48039432586177,-32.63963513436009,-0.2498090245806992,0.3777629140866936,-3.542439249896925,-0.0759058744035237,24.444340674717864,50.1608540652912,SELL
2017-04-20,36.894029754355515,-86.82192426497998,49.10362167358399,48.76683698767462,48.74215739857067,47.94263973428745,48.063121683013186,-151.68746119517732,-26.211940491288974,-0.310228216839846,0.2183701226123918,-2.768649218900726,-0.10208509719440963,26.861139817887604,49.95964901829159,HOLD
2017-04-21,35.011442127283715,-91.58404568382164,48.90351333618164,48.58478804074124,48.49887487238104,47.64998531534214,47.79725022594161,-148.93764303028746,-29.977115745432574,-0.37314056865553624,0.060527791450931116,-4.020932346540085,-0.07070443460569377,29.999073010715787,49.774540375051956,HOLD
2017-04-24,38.957911786779995,-81.68274353378244,48.75061302185058,48.487084851826275,48.34322162974964,47.57122733376243,47.767860122452426,-95.31409617191512,-22.08417642644001,-0.3956945807751566,-0.07299857102137913,-3.084133608060595,-0.05582451996454558,30.709154594303513,49.54968606825888,HOLD
2017-04-25,44.244561938580105,-67.3268872764773,48.60123558044434,48.48144716525488,48.289669730446555,47.73349237538347,47.954151294214554,-58.30268586280689,-11.510876122839807,-0.3762563384347146,-0.23925796504132174,-2.990548228990044,-0.03782998392858853,28.883966689816056,49.34731719214511,HOLD
2017-04-26,42.66648297858708,-72.54409542216914,48.43494644165039,48.44736979092586,48.233812644264916,47.98183271620008,48.02284085256751,-39.13116837703865,-14.66703404282583,-0.36966666647263224,-0.3937277623170074,-3.3286512081448363,-0.1532453648265571,25.17951474487909,49.16518520364272,HOLD
2017-04-27,37.9171636509543,-84.22269700470181,48.236951446533205,48.32340578885589,48.1121074329723,48.06646964718596,47.84292025189737,-102.82436396576134,-24.1656726980914,-0.4024469533611281,-0.6879274151664221,-3.9801574925602865,-0.17465903684049242,25.751627644206064,49.00126641399057,HOLD
2017-04-28,38.40924915766137,-83.06291259279321,48.13337364196777,48.228384532590184,48.032805148037994,48.02196287675337,47.75093866396826,-70.3439624979067,-23.181501684677254,-0.4207335638596845,-0.9860289118032249,-2.120906752605975,-0.18127421341950037,24.54801902425424,48.795486309566336,BUY
2017-05-01,37.202367145641745,-87.47067117763811,48.00583992004395,48.126302099818105,47.94799742265181,47.87825244556774,47.6420347619881,-85.42394906666316,-25.595265708716507,-0.4409441051391241,-1.2762416275429207,-2.605799162302,-0.19030980103077405,24.197110956162557,48.61439981767301,HOLD
2017-05-02,35.07789454131654,-93.62188346718663,47.90014839172363,47.99922042808271,47.84281796542081,47.662928032152585,47.474020722832634,-100.53019992622282,-29.844210917366905,-0.47086522579228784,-1.4485604314415739,-2.179913862151117,-0.23113939297529343,25.178667577929147,48.45504370480688,HOLD
2017-05-03,37.23479336603029,-85.35911414965014,47.87900886535645,47.91958505772463,47.781195692582564,47.49475440593681,47.43602288319072,-101.30585255168049,-25.53041326793942,-0.47826238725362913,-1.6442086379924694,-0.4425029620772662,-0.2527031936284145,26.192384903658233,48.28354636895214,HOLD
2017-05-04,30.186141884544803,-88.62433765345818,47.74724655151367,47.69557167342775,47.56455979780717,47.207884879064075,47.029244288238594,-194.98317573754542,-39.627716230910394,-0.5483056190754496,-1.7903759064239424,-2.7447545973707785,-0.21582642395618126,29.593212631463715,48.10822423818289,HOLD
2017-05-05,40.463756942663395,-60.84657167619869,47.71342506408691,47.64680462467242,47.50639731667258,47.08081982159856,47.10753035483713,-109.36849533428794,-19.07248611467321,-0.5379156058606824,-1.6934302731712403,-0.7080725509818865,-0.180731864719129,30.899461221342328,47.79795902257081,HOLD
2017-05-08,44.48706786535291,-46.15372375326376,47.68523979187012,47.66839792555761,47.515877810391515,47.16210622691145,47.32941667622398,-21.448868408403168,-11.02586426929417,-0.49666508581226054,-1.605506571501877,-0.5866136396603093,-0.11444073476845758,29.635785570651827,46.38452859589355,HOLD
2017-05-09,41.00548825117827,-61.53845333114116,47.57673034667969,47.614322507052464,47.458740234375,47.287555209073155,47.31127489064148,-49.85096836644866,-17.989023497643466,-0.49016313995687,-1.5263919019084062,-2.239336129115046,-0.13131663869157678,29.168445366446214,46.413840484227414,HOLD
2017-05-10,47.974041211554706,-37.08809954136115,47.547136306762695,47.68409681618391,47.535349481756036,47.52366233209167,47.59131703592066,46.5657218475135,-4.051917576890597,-0.4294581997632889,-1.4433304301011902,-0.612788890479201,-0.14442898897560572,26.345488130856562,46.47185520481241,HOLD
2017-05-11,47.033009222108966,-40.93376136743666,47.56052436828613,47.723251648655086,47.599406225031075,47.76639094111895,47.73912679082601,51.054353910065245,-5.933981555782064,-0.3848713832325572,-1.4116417976827529,0.2802868707691126,-0.14839540401628812,23.713889072561297,46.57695727704403,BUY
2017-05-12,45.455176906764756,-47.25301546723825,47.554182815551755,47.72581923109067,47.631560585715555,47.90173899332682,47.765302886704234,10.006360893257048,-9.089646186470496,-0.3584817567864178,-1.3793192490860782,-0.1326662777548563,-0.11591843974658407,22.78983943152638,46.71094100072523,HOLD
