Date,Close,Label,Prediction,Prediction_Prob
2022-01-03,344.4258728027344,0.0,2,0.9999993
2022-01-04,346.488525390625,0.0,2,1.0
2022-01-05,342.92822265625,0.0,2,1.0
2022-01-06,341.3270874023437,0.0,2,0.9936247
2022-01-07,341.2517395019531,0.0,0,0.98842806
2022-01-10,339.8200988769531,0.0,0,0.9999988
2022-01-11,341.4684143066406,0.0,2,0.89001006
2022-01-12,341.8544921875,0.0,2,0.6606635
2022-01-13,340.2062683105469,0.0,0,0.99999285
2022-01-14,338.2660217285156,0.0,2,0.998509
2022-01-18,333.2834777832031,0.0,2,1.0
2022-01-19,329.98687744140625,0.0,2,1.0
2022-01-20,327.14239501953125,2.0,2,1.0
2022-01-21,322.6915588378906,2.0,2,1.0
2022-01-24,324.0676574707031,2.0,2,1.0
2022-01-25,323.26641845703125,2.0,2,1.0
2022-01-26,321.8526306152344,2.0,2,1.0
2022-01-27,321.9374084472656,2.0,2,1.0
2022-01-28,327.1781921386719,0.0,2,1.0
2022-01-31,330.9202575683594,0.0,2,1.0
2022-02-01,333.6160583496094,0.0,2,1.0
2022-02-02,335.5858764648437,0.0,2,1.0
2022-02-03,330.825927734375,0.0,2,1.0
2022-02-04,330.7222595214844,0.0,2,1.0
2022-02-07,330.75054931640625,0.0,2,1.0
2022-02-08,334.1815795898437,0.0,2,1.0
2022-02-09,337.1318054199219,0.0,2,1.0
2022-02-10,332.30584716796875,0.0,2,1.0
2022-02-11,327.3477783203125,0.0,2,0.99999964
2022-02-14,326.0283203125,0.0,2,1.0
2022-02-15,330.1095886230469,0.0,2,1.0
2022-02-16,329.5911560058594,0.0,2,1.0
2022-02-17,323.9450988769531,0.0,2,0.9998068
2022-02-18,321.88629150390625,0.0,2,0.9998876
2022-02-22,317.1946716308594,0.0,2,1.0
2022-02-23,312.9559326171875,2.0,2,1.0
2022-02-24,313.7300109863281,2.0,2,1.0
2022-02-25,321.4709167480469,0.0,2,1.0
2022-02-28,320.3380432128906,0.0,2,1.0
2022-03-01,314.5042419433594,2.0,2,1.0
2022-03-02,320.01715087890625,0.0,2,1.0
2022-03-03,319.19580078125,0.0,2,1.0
2022-03-04,317.6288452148437,0.0,2,1.0
