Date,Close,Label,Prediction,Prediction_Prob
2022-01-03,215.8182678222656,0.0,0,0.9994154
2022-01-04,215.49253845214844,0.0,0,0.9997613
2022-01-05,208.1938934326172,0.0,0,0.9998958
2022-01-06,209.381591796875,0.0,0,0.9999776
2022-01-07,206.9582977294922,0.0,0,0.9988807
2022-01-10,206.23992919921875,0.0,0,0.99929774
2022-01-11,208.433334350586,0.0,0,0.99816656
2022-01-12,206.88165283203125,0.0,0,0.9637925
2022-01-13,204.98513793945312,0.0,0,0.7684163
2022-01-14,205.27249145507807,0.0,1,0.55796516
2022-01-18,199.06576538085932,0.0,0,0.59432393
2022-01-19,195.8282928466797,0.0,2,0.99233013
2022-01-20,192.28433227539065,0.0,2,0.99975294
2022-01-21,188.68292236328125,1.0,2,0.99912506
2022-01-24,193.0314178466797,0.0,2,0.99650586
2022-01-25,190.45486450195312,1.0,2,0.9962638
2022-01-26,187.70590209960932,1.0,2,0.99377114
2022-01-27,183.44354248046875,2.0,2,0.99426466
2022-01-28,187.01626586914065,1.0,2,0.990462
2022-01-31,192.75369262695312,1.0,2,0.9911012
2022-02-01,194.78428649902344,1.0,2,0.98843366
2022-02-02,192.84945678710932,1.0,2,0.9962333
2022-02-03,189.2001037597656,1.0,2,0.9982798
2022-02-04,190.0142822265625,1.0,2,0.998793
2022-02-07,190.95297241210932,1.0,2,0.9996853
2022-02-08,194.2095489501953,0.0,2,0.9999876
2022-02-09,197.897201538086,0.0,2,0.9980627
2022-02-10,194.8608856201172,0.0,2,0.9994178
2022-02-11,192.88780212402344,1.0,0,0.7088914
2022-02-14,192.21725463867188,1.0,0,0.9909457
2022-02-15,197.3703765869141,0.0,0,0.99984896
2022-02-16,197.78225708007807,0.0,0,0.99977916
2022-02-17,192.71534729003903,0.0,0,0.99994063
2022-02-18,191.05828857421875,1.0,0,0.9995467
2022-02-22,188.3668365478516,1.0,0,0.99276805
2022-02-23,184.8419647216797,2.0,0,0.96331793
2022-02-24,189.6886138916016,1.0,0,0.99829775
2022-02-25,193.9605407714844,0.0,0,0.99955887
2022-02-28,194.74598693847656,0.0,0,0.95577633
2022-03-01,191.07748413085932,1.0,0,0.9662837
2022-03-02,195.62713623046875,0.0,0,0.99840885
2022-03-03,193.3092041015625,0.0,0,0.9902312
2022-03-04,190.282470703125,1.0,0,0.961165
2022-03-07,185.5507659912109,2.0,2,0.74771106
2022-03-08,186.5756683349609,2.0,2,0.84556955
2022-03-09,191.8341217041016,1.0,0,0.9982346
2022-03-10,191.48931884765625,1.0,0,0.9981201
2022-03-11,188.4338531494141,1.0,0,0.88907856
2022-03-14,184.58338928222656,2.0,2,0.5224422
2022-03-15,187.52392578125,2.0,0,0.95125395
2022-03-16,193.42413330078125,1.0,0,0.9797879
2022-03-17,196.46047973632807,1.0,0,0.99939513
2022-03-18,198.5293731689453,1.0,0,0.99335265
2022-03-21,196.7765655517578,1.0,0,0.95985526
2022-03-22,198.7496490478516,1.0,0,0.9655394
2022-03-23,195.301498413086,1.0,0,0.8100498
2022-03-24,197.54721069335932,1.0,0,0.97530717
2022-03-25,197.81594848632807,0.0,0,0.9785947
2022-03-28,197.8831329345703,0.0,0,0.9644854
2022-03-29,203.1807556152344,0.0,1,0.84820557
2022-03-30,199.1019592285156,0.0,0,0.9966942
2022-03-31,197.0001983642578,0.0,0,0.9988398
2022-04-01,199.20755004882807,0.0,0,0.9996593
2022-04-04,199.53384399414065,0.0,0,0.99368507
2022-04-05,194.8120574951172,1.0,1,0.6746862
2022-04-06,192.04806518554688,1.0,1,0.5048653
2022-04-07,191.42428588867188,0.0,1,0.549007
2022-04-08,189.8983154296875,1.0,0,0.5185087
2022-04-11,188.62188720703125,0.0,0,0.5849144
2022-04-12,189.2169342041016,0.0,1,0.5680828
2022-04-13,192.8158569335937,0.0,1,0.66019344
2022-04-14,190.9444274902344,0.0,0,0.5427711
2022-04-18,189.6583709716797,0.0,0,0.6379678
2022-04-19,193.4396514892578,0.0,1,0.97338605
2022-04-20,194.1786346435547,0.0,1,0.9814523
2022-04-21,189.83116149902344,0.0,0,0.894496
2022-04-22,184.9174041748047,0.0,0,0.62820876
2022-04-25,186.040267944336,0.0,1,0.4256455
2022-04-26,180.1764373779297,0.0,2,0.9907438
2022-04-27,179.42788696289062,0.0,2,0.9576462
2022-04-28,182.7772827148437,0.0,2,0.9925668
2022-04-29,177.49880981445312,0.0,2,0.95888424
2022-05-02,179.36065673828125,0.0,2,0.9954046
2022-05-03,180.89620971679688,0.0,2,0.9951508
2022-05-04,185.7235717773437,0.0,1,0.86667097
2022-05-05,178.1898193359375,0.0,2,0.98610616
2022-05-06,175.22430419921875,0.0,2,0.9810346
