Date,Close,Label,Prediction,Prediction_Prob
2023-01-03,318.0906982421875,2.0,1,0.91130036
2023-01-04,319.37750244140625,2.0,1,0.921516
2023-01-05,316.1699523925781,2.0,1,0.78883433
2023-01-06,322.9501037597656,1.0,1,0.6445974
2023-01-09,321.9993896484375,1.0,1,0.89867866
2023-01-10,323.8623962402344,1.0,1,0.78281885
2023-01-11,326.2920837402344,0.0,0,0.5230445
2023-01-12,328.4433288574219,0.0,0,0.9457298
2023-01-13,329.4421081542969,0.0,0,0.983528
2023-01-17,325.71588134765625,0.0,1,0.9775055
2023-01-18,319.7712707519531,1.0,2,0.89496946
2023-01-19,317.52410888671875,2.0,2,0.8556489
2023-01-20,320.7151794433594,1.0,1,0.8405089
2023-01-23,323.1181640625,1.0,1,0.89038706
2023-01-24,324.01202392578125,1.0,1,0.8771488
2023-01-25,324.22344970703125,1.0,1,0.8406836
2023-01-26,326.1842346191406,1.0,1,0.78705984
2023-01-27,326.42449951171875,1.0,1,0.69711596
2023-01-30,323.9736022949219,1.0,1,0.5310457
2023-01-31,327.5971374511719,1.0,1,0.83502793
2023-02-01,327.6356201171875,1.0,1,0.77198136
2023-02-02,327.2127685546875,1.0,1,0.89362633
2023-02-03,325.8190002441406,1.0,1,0.9513908
2023-02-06,325.33837890625,0.0,1,0.95476204
2023-02-07,328.2604675292969,0.0,1,0.91085595
2023-02-08,326.241943359375,0.0,1,0.96741796
2023-02-09,323.9927673339844,0.0,1,0.52253896
2023-02-10,325.57867431640625,0.0,1,0.9160333
2023-02-13,329.2503356933594,0.0,1,0.9914068
2023-02-14,327.8951110839844,0.0,1,0.9615486
2023-02-15,328.3948974609375,0.0,1,0.98671794
2023-02-16,324.2906494140625,0.0,2,0.7498082
2023-02-17,325.6885986328125,0.0,1,0.93974286
2023-02-21,318.910888671875,1.0,2,0.7661517
2023-02-22,318.2080383300781,1.0,2,0.74619925
2023-02-23,319.3152770996094,0.0,1,0.5954628
2023-02-24,315.8974609375,0.0,1,0.5357652
2023-02-27,316.80255126953125,0.0,1,0.5155634
2023-02-28,314.4052124023437,0.0,2,0.9219232
2023-03-01,314.8191833496094,0.0,2,0.7646175
2023-03-02,318.131103515625,0.0,1,0.6004549
2023-03-03,321.76055908203125,0.0,1,0.8055784
2023-03-06,322.213134765625,0.0,1,0.5847112
2023-03-07,316.6195068359375,0.0,2,0.8670536
