Date,Close,Label,Prediction,Prediction_Prob
2019-01-02,226.95474243164065,1.0,2,0.9668783
2019-01-03,221.5389709472656,2.0,1,0.83632165
2019-01-04,228.9596099853516,2.0,2,0.65248877
2019-01-07,230.76486206054688,1.0,2,0.9320423
2019-01-08,232.93296813964844,1.0,2,0.98522806
2019-01-09,234.0215759277344,1.0,2,0.99381155
2019-01-10,234.8470916748047,1.0,2,0.99384415
2019-01-11,234.9378204345703,1.0,2,0.8957152
2019-01-14,233.50442504882807,1.0,2,0.9849139
2019-01-15,236.1806488037109,1.0,2,0.8683687
2019-01-16,236.7521209716797,2.0,2,0.98368996
2019-01-17,238.54830932617188,1.0,2,0.9817046
2019-01-18,241.723373413086,1.0,2,0.5391619
2019-01-22,238.4576110839844,2.0,2,0.9999995
2019-01-23,238.95655822753903,2.0,2,0.99999785
2019-01-24,239.0835876464844,2.0,2,0.99999714
2019-01-25,241.1065368652344,1.0,2,0.99842834
2019-01-28,239.2740478515625,2.0,2,0.99999976
2019-01-29,238.95655822753903,2.0,2,0.9999999
2019-01-30,242.7394561767578,1.0,2,0.99901545
2019-01-31,244.871322631836,1.0,2,0.9637769
2019-02-01,244.9892425537109,1.0,2,0.9570845
2019-02-04,246.7127685546875,1.0,1,0.5642119
2019-02-05,247.74696350097656,1.0,1,0.9114392
2019-02-06,247.4203948974609,1.0,1,0.9122714
2019-02-07,245.06185913085932,2.0,2,0.99996984
2019-02-08,245.36119079589844,2.0,2,0.9999348
2019-02-11,245.4972686767578,2.0,2,0.99960214
2019-02-12,248.6541748046875,1.0,1,0.66063875
2019-02-13,249.4615936279297,1.0,1,0.8760765
2019-02-14,248.9081573486328,1.0,1,0.6849852
2019-02-15,251.62062072753903,1.0,1,0.98247623
2019-02-19,252.0560607910156,1.0,1,0.9912492
2019-02-20,252.5640563964844,1.0,1,0.995833
2019-02-21,251.66598510742188,1.0,1,0.989472
2019-02-22,253.22628784179688,0.0,1,0.99849343
2019-02-25,253.57095336914065,0.0,1,0.8432842
2019-02-26,253.3895263671875,0.0,2,0.8690621
2019-02-27,253.2807464599609,0.0,2,0.98153543
2019-02-28,252.80897521972656,0.0,2,0.99949324
2019-03-01,254.3875274658203,0.0,2,0.7810021
2019-03-04,253.46209716796875,0.0,2,0.9989555
2019-03-05,253.117416381836,0.0,2,0.9998381
2019-03-06,251.58428955078125,2.0,2,0.99999094
2019-03-07,249.4796600341797,2.0,2,0.9997826
2019-03-08,248.9807891845703,2.0,2,0.9995121
2019-03-11,252.5912628173828,2.0,2,0.9898627
2019-03-12,253.5437469482422,2.0,2,0.8614217
2019-03-13,255.2220458984375,1.0,1,0.95157343
2019-03-14,255.0587310791016,1.0,1,0.93558663
2019-03-15,256.3188781738281,1.0,1,0.97313935
2019-03-18,257.2483215332031,1.0,1,0.9911385
2019-03-19,257.3120422363281,1.0,2,0.624419
2019-03-20,256.53759765625,1.0,2,0.97395056
2019-03-21,259.43505859375,0.0,1,0.93430096
2019-03-22,254.4419403076172,2.0,2,0.97883683
2019-03-25,254.2506103515625,2.0,2,0.97230715
