Date,Close,Label,Prediction,Prediction_Prob
2020-01-02,300.2915344238281,2.0,0,0.63035315
2020-01-03,298.01763916015625,2.0,1,0.42393363
2020-01-06,299.1546325683594,2.0,0,0.9393393
2020-01-07,298.3135681152344,2.0,1,0.7350447
2020-01-08,299.90338134765625,2.0,0,0.8856435
2020-01-09,301.9368591308594,2.0,0,0.8777758
2020-01-10,301.0679931640625,2.0,0,0.64602506
2020-01-13,303.1386413574219,0.0,0,0.70759135
2020-01-14,302.6763610839844,2.0,0,0.67653435
2020-01-15,303.3604431152344,0.0,1,0.4993709
2020-01-16,305.88385009765625,0.0,1,0.9108561
2020-01-17,306.8359069824219,0.0,1,0.8881514
2020-01-21,306.235107421875,0.0,1,0.6920403
2020-01-22,306.27215576171875,0.0,2,0.6473573
2020-01-23,306.623291015625,0.0,0,0.42859527
2020-01-24,303.8964538574219,0.0,2,0.9203264
2020-01-27,299.0251770019531,2.0,2,0.98720783
2020-01-28,302.15869140625,0.0,2,0.95962334
2020-01-29,301.9091186523437,0.0,2,0.84820485
2020-01-30,302.88897705078125,0.0,0,0.67417824
2020-01-31,297.3891906738281,2.0,0,0.9269467
2020-02-03,299.59832763671875,2.0,0,0.72061974
2020-02-04,304.16461181640625,2.0,0,0.99186826
2020-02-05,307.67706298828125,1.0,0,0.99881977
2020-02-06,308.7123413085937,1.0,0,0.999532
2020-02-07,307.0670166015625,0.0,0,0.9998253
2020-02-10,309.3594055175781,0.0,0,0.99989545
2020-02-11,309.8955078125,0.0,0,0.9999964
2020-02-12,311.89208984375,0.0,0,0.99993086
2020-02-13,311.55938720703125,0.0,0,0.99991333
2020-02-14,312.05841064453125,0.0,0,0.99893636
2020-02-18,311.2543334960937,0.0,0,0.996743
2020-02-19,312.7425537109375,0.0,0,0.9952108
2020-02-20,311.4576416015625,0.0,0,0.9870558
2020-02-21,308.25018310546875,0.0,0,0.9994943
2020-02-24,298.02691650390625,0.0,0,0.9982393
2020-02-25,288.9961242675781,0.0,0,0.99981135
2020-02-26,287.9330749511719,0.0,0,0.999511
2020-02-27,275.0015869140625,2.0,0,0.8121086
2020-02-28,273.8461303710937,2.0,0,0.9999827
2020-03-02,285.7054443359375,0.0,0,0.99993646
2020-03-03,277.5250244140625,0.0,0,0.99991894
2020-03-04,289.19024658203125,0.0,0,0.53062487
2020-03-05,279.5769348144531,0.0,0,0.8598714
2020-03-06,274.95526123046875,0.0,1,0.5010693
2020-03-09,253.4828338623047,0.0,1,0.99965656
2020-03-10,266.5993347167969,0.0,1,1.0
2020-03-11,253.6029815673828,0.0,1,1.0
2020-03-12,229.3389587402344,0.0,1,1.0
2020-03-13,248.94430541992188,0.0,1,1.0
2020-03-16,221.70388793945312,1.0,1,1.0
2020-03-17,233.6740875244141,0.0,1,1.0
2020-03-18,221.842529296875,1.0,1,1.0
2020-03-19,222.3139190673828,1.0,1,1.0
2020-03-20,212.7334899902344,1.0,1,1.0
2020-03-23,207.29425048828125,2.0,1,1.0
2020-03-24,226.07583618164065,1.0,1,1.0
2020-03-25,229.4602203369141,1.0,1,1.0
2020-03-26,242.8583221435547,1.0,1,1.0
2020-03-27,235.62461853027344,1.0,1,1.0
2020-03-30,243.27671813964844,1.0,1,1.0
2020-03-31,239.65057373046875,1.0,1,1.0
2020-04-01,228.8651428222656,2.0,1,1.0
2020-04-02,234.1463165283203,2.0,1,1.0
2020-04-03,230.76190185546875,2.0,1,1.0
2020-04-06,246.26133728027344,1.0,0,0.9999815
2020-04-07,246.51239013671875,1.0,1,0.63971865
2020-04-08,254.78732299804688,1.0,0,0.9952317
2020-04-09,258.66461181640625,1.0,1,0.999879
2020-04-13,256.302978515625,1.0,1,0.99999976
2020-04-14,263.8620910644531,1.0,1,0.9999914
2020-04-15,258.25543212890625,1.0,1,0.9970193
2020-04-16,259.5013122558594,1.0,2,0.63818806
2020-04-17,266.5118408203125,1.0,2,0.99923444
2020-04-20,261.81646728515625,1.0,2,0.99459344
2020-04-21,253.86697387695312,2.0,2,0.90616876
2020-04-22,259.5013122558594,1.0,1,0.86529636
2020-04-23,259.4827880859375,1.0,1,0.98866385
2020-04-24,263.0995788574219,1.0,1,0.545519
2020-04-27,266.89312744140625,1.0,1,0.627115
2020-04-28,265.6658630371094,1.0,2,0.5459681
2020-04-29,272.6205749511719,1.0,1,0.99975103
2020-04-30,270.08233642578125,1.0,1,0.9867127
2020-05-01,262.9322814941406,1.0,1,0.7106057
2020-05-04,263.6575012207031,1.0,1,0.9578197
2020-05-05,266.0934753417969,1.0,1,0.8539741
2020-05-06,264.2897644042969,1.0,0,0.66161877
2020-05-07,267.4788513183594,1.0,0,0.717472
2020-05-08,271.9046325683594,0.0,0,0.873549
2020-05-11,271.96044921875,0.0,0,0.90970105
2020-05-12,266.5398254394531,2.0,1,0.82329285
2020-05-13,261.8258056640625,2.0,2,0.77731663
2020-05-14,264.95916748046875,2.0,1,0.89490724
2020-05-15,266.1772155761719,2.0,1,0.6714682
2020-05-18,274.284912109375,1.0,0,0.9875837
2020-05-19,271.4676208496094,2.0,0,0.9368653
2020-05-20,276.079345703125,2.0,0,0.9966356
2020-05-21,274.1732788085937,2.0,0,0.98754483
2020-05-22,274.6940002441406,2.0,0,0.95725536
2020-05-26,278.078369140625,2.0,0,0.9723023
2020-05-27,282.2158508300781,2.0,1,0.70313
2020-05-28,281.6951904296875,2.0,0,0.95709443
2020-05-29,282.95037841796875,2.0,0,0.8344031
2020-06-01,284.0940246582031,2.0,1,0.5466597
2020-06-02,286.4463806152344,2.0,1,0.9396377
2020-06-03,290.2584533691406,0.0,1,0.9915523
2020-06-04,289.4960632324219,2.0,1,0.9921577
2020-06-05,296.91571044921875,0.0,1,0.9991685
2020-06-08,300.504638671875,0.0,1,0.9997714
2020-06-09,298.2638854980469,0.0,1,0.9950046
2020-06-10,296.5995788574219,0.0,1,0.8827367
2020-06-11,279.5009765625,1.0,2,0.9999999
2020-06-12,282.8481140136719,1.0,2,0.99998057
2020-06-15,285.4887084960937,1.0,2,0.9996517
2020-06-16,290.98370361328125,0.0,1,0.9993349
2020-06-17,289.7749938964844,1.0,1,0.9933561
2020-06-18,289.8865966796875,0.0,1,0.8492453
2020-06-19,288.2298583984375,1.0,2,0.9808173
2020-06-22,290.0789794921875,0.0,2,0.93162733
2020-06-23,291.4143981933594,0.0,2,0.990108
2020-06-24,283.9808349609375,1.0,2,0.99998295
2020-06-25,287.02520751953125,1.0,2,0.999171
2020-06-26,280.2079162597656,2.0,2,0.9999993
2020-06-29,284.3263244628906,2.0,2,0.9999807
2020-06-30,287.9684143066406,2.0,2,0.99657166
2020-07-01,289.9855651855469,1.0,2,0.9674231
2020-07-02,291.5824890136719,1.0,2,0.8098167
2020-07-06,296.0837097167969,1.0,2,0.7033343
2020-07-07,293.0299377441406,1.0,2,0.7452554
2020-07-08,295.2712097167969,1.0,2,0.87179905
2020-07-09,293.59033203125,2.0,2,0.77452445
2020-07-10,296.5880126953125,1.0,2,0.6707076
2020-07-13,294.0198669433594,2.0,0,0.6697707
2020-07-14,297.8301086425781,1.0,0,0.62853676
2020-07-15,300.5663146972656,1.0,0,0.81569207
2020-07-16,299.5763854980469,1.0,1,0.74262404
2020-07-17,300.4449462890625,1.0,1,0.9445817
2020-07-20,302.8728942871094,1.0,1,0.98531485
2020-07-21,303.5173645019531,1.0,1,0.91787344
2020-07-22,305.2449645996094,1.0,1,0.85497147
2020-07-23,301.6029663085937,2.0,1,0.9004754
2020-07-24,299.6605529785156,2.0,2,0.9998431
2020-07-27,301.8456726074219,2.0,2,0.94292516
2020-07-28,299.9313049316406,2.0,2,0.9999926
2020-07-29,303.6201171875,2.0,1,0.7015067
2020-07-30,302.536865234375,2.0,2,0.96993804
2020-07-31,304.9273986816406,2.0,0,0.5992004
2020-08-03,307.04742431640625,2.0,1,0.5802635
2020-08-04,308.2333679199219,2.0,1,0.5048084
2020-08-05,310.1477966308594,1.0,0,0.6832873
2020-08-06,312.2209777832031,1.0,0,0.8289743
2020-08-07,312.4452209472656,1.0,0,0.87815785
2020-08-10,313.3790283203125,1.0,0,0.8015348
2020-08-11,310.7922058105469,2.0,0,0.6343449
2020-08-12,315.1253662109375,2.0,0,0.9110317
2020-08-13,314.5556640625,2.0,0,0.8808384
2020-08-14,314.5650329589844,2.0,0,0.8727648
2020-08-17,315.5642395019531,2.0,0,0.79893607
2020-08-18,316.2460327148437,2.0,0,0.71460205
2020-08-19,314.9292297363281,2.0,1,0.72852737
2020-08-20,315.9098205566406,2.0,1,0.7079151
2020-08-21,317.0303955078125,2.0,1,0.8495555
2020-08-24,320.24298095703125,2.0,1,0.7359693
2020-08-25,321.3636169433594,2.0,1,0.8290308
2020-08-26,324.58544921875,2.0,1,0.8746741
2020-08-27,325.2951965332031,2.0,1,0.5099135
2020-08-28,327.3963928222656,2.0,1,0.901279
2020-08-31,326.2103881835937,2.0,0,0.6844677
