Date,Close,Label,Prediction,Prediction_Prob
2021-01-04,183.59909057617188,2.0,2,1.0
2021-01-05,186.4361114501953,2.0,2,1.0
2021-01-06,194.064682006836,2.0,2,1.0
2021-01-07,197.51844787597656,1.0,2,1.0
2021-01-08,197.0915069580078,1.0,2,1.0
2021-01-11,196.9207000732422,1.0,2,1.0
2021-01-12,200.4503173828125,1.0,2,1.0
2021-01-13,199.01760864257807,2.0,2,1.0
2021-01-14,202.99319458007807,0.0,2,1.0
2021-01-15,199.9664306640625,2.0,2,1.0
2021-01-19,202.5282745361328,0.0,2,1.0
2021-01-20,203.4202117919922,0.0,2,1.0
2021-01-21,201.6553649902344,0.0,2,1.0
2021-01-22,203.9989776611328,0.0,2,1.0
2021-01-25,203.7997131347656,0.0,2,1.0
2021-01-26,202.38595581054688,0.0,2,1.0
2021-01-27,198.676025390625,2.0,2,1.0
2021-01-28,198.0403289794922,2.0,2,1.0
2021-01-29,195.0419464111328,2.0,2,0.99999976
2021-02-01,199.8335876464844,2.0,2,1.0
2021-02-02,202.6801300048828,2.0,2,1.0
2021-02-03,203.287353515625,2.0,2,1.0
2021-02-04,207.4337615966797,2.0,2,1.0
2021-02-05,210.3087158203125,1.0,2,1.0
2021-02-08,215.67909240722656,0.0,2,1.0
2021-02-09,216.69436645507807,0.0,2,1.0
2021-02-10,215.2711181640625,0.0,2,1.0
2021-02-11,215.02444458007807,0.0,2,1.0
2021-02-12,215.63168334960932,0.0,2,1.0
2021-02-16,214.2748260498047,0.0,2,1.0
2021-02-17,212.59542846679688,0.0,2,0.6169165
2021-02-18,209.3029327392578,0.0,0,0.99999976
2021-02-19,213.66758728027344,0.0,0,0.9999999
2021-02-22,212.28225708007807,0.0,0,0.5188212
2021-02-23,210.4130401611328,0.0,0,0.99999964
2021-02-24,215.3849639892578,0.0,0,1.0
2021-02-25,207.4242706298828,2.0,0,0.99996614
2021-02-26,207.13961791992188,2.0,0,0.99914277
2021-03-01,214.50254821777344,0.0,0,1.0
2021-03-02,210.3751220703125,0.0,0,0.99376714
2021-03-03,208.09796142578125,2.0,0,0.99999046
2021-03-04,202.28158569335932,2.0,0,0.5563965
2021-03-05,206.5702972412109,2.0,0,0.99999225
2021-03-08,207.54763793945312,2.0,0,0.9999914
2021-03-09,211.9122314453125,0.0,0,1.0
2021-03-10,215.59375,0.0,0,0.9999999
2021-03-11,220.33786010742188,0.0,0,0.9999994
2021-03-12,221.6377868652344,0.0,0,0.9999188
2021-03-15,222.42530822753903,0.0,0,0.99995685
2021-03-16,218.70590209960932,0.0,0,0.99997175
2021-03-17,220.4232788085937,0.0,0,0.99962676
2021-03-18,213.7150115966797,0.0,0,0.9251087
2021-03-19,215.3280487060547,0.0,0,0.9810446
2021-03-22,213.7055206298828,0.0,0,0.9855397
2021-03-23,205.95358276367188,1.0,0,0.9999975
2021-03-24,201.19044494628903,2.0,0,0.99991703
2021-03-25,205.9606475830078,1.0,0,1.0
2021-03-26,209.715576171875,1.0,0,1.0
2021-03-29,203.8122100830078,1.0,0,0.99999785
2021-03-30,207.2439727783203,1.0,0,0.9999982
2021-03-31,210.02926635742188,1.0,0,0.99999857
2021-04-01,212.69102478027344,1.0,0,0.99999833
2021-04-05,213.8602600097656,1.0,0,0.9999962
2021-04-06,213.2328186035156,1.0,0,0.9999987
2021-04-07,209.79161071777344,1.0,0,0.9729159
2021-04-08,211.5692749023437,1.0,0,0.9997676
2021-04-09,211.59780883789065,1.0,0,0.999997
2021-04-12,210.7707672119141,1.0,0,0.9999889
2021-04-13,210.21939086914065,1.0,0,0.99999666
2021-04-14,212.291732788086,1.0,0,0.9998721
2021-04-15,213.2138061523437,0.0,0,0.9999217
2021-04-16,213.55604553222656,0.0,0,0.99855167
2021-04-19,210.78024291992188,1.0,0,0.9982095
2021-04-20,206.46446228027344,2.0,0,0.99571997
2021-04-21,211.51223754882807,0.0,0,0.9999999
2021-04-22,210.6376342773437,0.0,0,0.9999896
2021-04-23,214.61122131347656,0.0,0,0.9999999
2021-04-26,216.8451995849609,0.0,0,1.0
2021-04-27,217.16842651367188,0.0,0,1.0
2021-04-28,217.5391540527344,0.0,0,1.0
2021-04-29,216.7310943603516,0.0,0,1.0
2021-04-30,213.78421020507807,0.0,0,1.0
2021-05-03,214.82992553710932,0.0,0,1.0
2021-05-04,212.2632293701172,0.0,0,0.9999994
2021-05-05,211.41717529296875,0.0,0,0.9998418
2021-05-06,211.59780883789065,0.0,0,0.9999999
2021-05-07,214.259521484375,0.0,0,1.0
2021-05-10,208.8124847412109,0.0,0,0.99998677
2021-05-11,208.14703369140625,0.0,0,1.0
2021-05-12,201.3881378173828,2.0,0,0.9871062
2021-05-13,205.0955810546875,2.0,0,0.9999645
2021-05-14,210.1053466796875,1.0,0,0.9999994
2021-05-17,210.3905029296875,2.0,0,1.0
2021-05-18,208.79345703125,2.0,0,0.9998729
2021-05-19,207.1869201660156,2.0,0,1.0
2021-05-20,208.5653076171875,2.0,0,1.0
2021-05-21,209.107177734375,2.0,0,1.0
2021-05-24,210.466537475586,2.0,0,0.9999999
2021-05-25,208.4322204589844,2.0,0,0.9999907
2021-05-26,212.3202667236328,2.0,0,0.9984977
2021-05-27,214.50669860839844,1.0,0,0.99788123
2021-05-28,214.3640899658203,1.0,0,0.9998425
2021-06-01,216.7976531982422,1.0,0,0.9999974
2021-06-02,217.0543365478516,1.0,0,0.99999785
2021-06-03,215.2386474609375,1.0,0,0.99990237
2021-06-04,216.17027282714844,1.0,0,0.9982311
2021-06-07,219.0696258544922,0.0,0,0.99990296
2021-06-08,221.3890991210937,0.0,0,0.99999046
2021-06-09,219.9156494140625,0.0,0,1.0
2021-06-10,218.28482055664065,0.0,0,1.0
2021-06-11,220.5888061523437,0.0,0,1.0
2021-06-14,219.94137573242188,0.0,0,1.0
2021-06-15,219.31304931640625,0.0,0,1.0
2021-06-16,218.84654235839844,0.0,0,1.0
2021-06-17,216.3902587890625,0.0,0,1.0
2021-06-18,211.47772216796875,2.0,0,0.9998889
2021-06-21,215.9999237060547,1.0,0,1.0
2021-06-22,216.9805145263672,0.0,0,1.0
2021-06-23,217.6945343017578,0.0,0,0.9999999
2021-06-24,220.7696533203125,0.0,0,1.0
