,Final Value,Total Return (%),Annualized Return (%),Sharpe Ratio,Max Drawdown (%),Win Rate (%),Number of Trades
CNN,18518.6429748535,85.186429748535,10.82095842123616,0.8206524172960589,-19.360874282350636,66.66666666666666,78
RSI,13994.526489257812,39.94526489257812,5.763905899417199,0.434859936395667,-27.79638675752824,80.0,5
MACD,18373.68542480468,83.7368542480468,10.675840347832732,0.9472885072459668,-15.024495656623488,75.75757575757575,66
SMA,19460.084930419922,94.60084930419922,11.74106429183066,0.773645361632382,-33.69155401794033,50.0,2
EMA_12_26,19988.11083984375,99.88110839843749,12.240999416711462,1.0179945099349565,-12.949980963212623,77.77777777777779,18
EMA_50,16366.610626220718,63.666106262207165,8.561561695765763,0.7431341259324451,-22.15129111154438,50.0,52
BB,12294.314071655266,22.943140716552655,3.5040985185865514,0.3491994667342827,-26.81501190401574,63.54679802955665,203
Buy & Hold,25817.046997070312,158.17046997070312,17.133860248702604,0.8994529022777344,-33.685484444105626,0.0,0
